price_id;price_range
1;Not Available
2;€14-€29
3;€8-€17
4;€10-€35
5;€12-€26
6;€12-€30
7;€10-€50
8;€10-€30
9;€7-€14
10;€11-€23
11;€26-€106
12;€3-€17
13;€12-€40
14;€17-€25
15;€11-€18
16;€10-€45
17;€4-€20
18;€9-€25
19;€12-€25
20;€12-€33
21;€8-€25
22;€5-€65
23;€10-€25
24;€18-€25
25;€6-€15
26;€21-€60
27;€10-€15
28;€15-€35
29;€5-€20
30;€10-€20
31;€10-€28
32;€30-€50
33;€13-€25
34;€14-€35
35;€7-€45
36;€9-€35
37;€24-€31
38;€4-€9
39;€10-€16
40;€13-€18
41;€4-€11
42;€15-€25
43;€11-€20
44;€3-€8
45;€13-€30
46;€13-€26
47;€15-€20
48;€5-€10
49;€7-€15
50;€10-€17
51;€6-€11
52;€6-€12
53;€9-€13
54;€40-€65
55;€25-€41
56;€18-€29
57;€3-€15
58;€12-€20
59;€18-€39
60;€20-€36
61;€9-€20
62;€25-€50
63;€15-€30
64;€5-€15
65;€7-€20
66;€8-€28
67;€29-€49
68;€10-€14
69;€15-€29
70;€60-€120
71;€13-€22
72;€15-€28
73;€22-€25
74;€2-€10
75;€4-€15
76;€33-€73
77;€8-€14
78;€8-€12
79;€11-€19
80;€15-€50
81;€16-€30
82;€28-€58
83;€7-€25
84;€24-€39
85;€12-€56
86;€39-€138
87;€5-€16
88;€6-€10
89;€8-€22
90;€40-€100
91;€12-€55
92;€14-€28
93;€6-€21
94;€9-€14
95;€14-€26
96;€12-€28
97;€18-€45
98;€9-€15
99;€11-€22
100;€24-€32
101;€8-€13
102;€8-€29
103;€24-€38
104;€25-€32
105;€8-€15
106;€11-€28
107;€5-€30
108;€16-€55
109;€5-€21
110;€9-€16
111;€3-€13
112;€4-€22
113;€6-€20
114;€15-€15
115;€17-€60
116;€16-€32
117;€22-€33
118;€11-€17
119;€3-€12
120;€4-€21
121;€21-€50
122;€9-€30
123;€8-€41
124;€10-€29
125;€10-€21
126;€20-€45
127;€19-€40
128;€6-€22
129;€9-€19
130;€4-€10
131;€2-€14
132;€12-€17
133;€3-€10
134;€9-€22
135;€13-€24
136;€21-€64
137;€10-€46
138;€7-€30
139;€15-€45
140;€12-€18
141;€7-€11
142;€10-€26
143;€10-€18
144;€16-€50
145;€7-€16
146;€15-€38
147;€28-€35
148;€12-€35
149;€2-€9
150;€11-€30
151;€19-€50
152;€4-€25
153;€20-€35
154;€10-€40
155;€2-€17
156;€15-€44
157;€15-€40
158;€9-€29
159;€7-€21
160;€25-€39
161;€30-€65
162;€3-€7
163;€4-€8
164;€21-€21
165;€4-€14
166;€18-€60
167;€11-€16
168;€17-€32
169;€17-€55
170;€7-€28
171;€25-€58
172;€12-€16
173;€5-€40
174;€16-€35
175;€10-€22
176;€15-€31
177;€5-€12
178;€1-€2
179;€14-€14
180;€45-€105
181;€13-€37
182;€5-€13
183;€10-€32
184;€23-€42
185;€6-€14
186;€18-€72
187;€14-€45
188;€8-€16
189;€23-€35
190;€17-€40
191;€20-€50
192;€3-€11
193;€18-€70
194;€9-€21
195;€14-€25
196;€18-€23
197;€17-€24
198;€16-€26
199;€12-€41
200;€6-€17
201;€11-€29
202;€8-€26
203;€2-€20
204;€2-€11
205;€20-€40
206;€9-€18
207;€9-€50
208;€12-€21
209;€8-€37
210;€13-€19
211;€17-€29
212;€4-€12
213;€4-€29
214;€17-€38
215;€16-€29
216;€12-€29
217;€7-€12
218;€7-€22
219;€16-€25
220;€30-€60
221;€13-€31
222;€27-€62
223;€23-€39
224;€25-€60
225;€25-€45
226;€15-€41
227;€12-€19
228;€14-€50
229;€10-€34
230;€2-€13
231;€6-€13
232;€15-€18
233;€14-€31
234;€8-€40
235;€18-€24
236;€6-€25
237;€12-€13
238;€3-€100
239;€600-€1,000
240;€13-€29
241;€8-€35
242;€2-€12
243;€19-€12,000
244;€28-€40
245;€10-€55
246;€8-€21
247;€2-€16
248;€22-€30
249;€15-€21
250;€8-€20
251;€12-€38
252;€5-€17
253;€9-€40
254;€15-€39
255;€7-€10
256;€14-€69
257;€15-€24
258;€18-€35
259;€3-€28
260;€27-€68
261;€12-€60
262;€26-€103
263;€42-€115
264;€13-€17
265;€20-€22
266;€9-€17
267;€16-€69
268;€16-€22
269;€26-€55
270;€4-€16
271;€8-€11
272;€10-€36
273;€11-€21
274;€10-€19
275;€11-€80
276;€7-€32
277;€3-€18
278;€2-€3
279;€24-€80
280;€16-€28
281;€14-€48
282;€11-€36
283;€15-€22
284;€11-€40
285;€16-€31
286;€20-€28
287;€10-€37
288;€16-€39
289;€33-€33
290;€18-€40
291;€20-€33
292;€16-€36
293;€17-€35
294;€12-€23
295;€7-€17
296;€25-€55
297;€54-€70
298;€8-€33
299;€16-€45
300;€8-€30
301;€19-€35
302;€21-€46
303;€11-€45
304;€14-€32
305;€12-€46
306;€10-€31
307;€9-€12
308;€5-€22
309;€14-€27
310;€5-€18
311;€7-€9
312;€13-€16
313;€13-€21
314;€14-€20
315;€1-€4
316;€23-€54
317;€7-€23
318;€19-€39
319;€10-€39
320;€20-€25
321;€25-€25
322;€4-€6
323;€13-€36
324;€10-€130
325;€10-€112
326;€3-€23
327;€4-€17
328;€21-€57
329;€32-€73
330;€14-€33
331;€26-€30
332;€10-€27
333;€27-€36
334;€19-€25
335;€5-€50
336;€5-€14
337;€12-€32
338;€10-€100
339;€2-€15
340;€21-€67
341;€20-€80
342;€9-€44
343;€75-€130
344;€18-€42
345;€12-€39
346;€13-€39
347;€16-€43
348;€2-€5
349;€3-€20
350;€12-€36
351;€4-€13
352;€11-€26
353;€35-€142
354;€17-€30
355;€20-€30
356;€22-€26
357;€21-€55
358;€9-€28
359;€6-€45
360;€11-€32
361;€15-€33
362;€2-€6
363;€7-€13
364;€5-€9
365;€5-€35
366;€21-€44
367;€13-€33
368;€2-€55
369;€8-€19
370;€5-€8
371;€65-€195
372;€21-€83
373;€36-€60
374;€5-€54
375;€3-€14
376;€5-€19
377;€10-€60
378;€7-€18
379;€25-€40
380;€4-€19
381;€13-€20
382;€5-€11
383;€14-€24
384;€2-€18
385;€16-€20
386;€11-€35
387;€8-€100
388;€9-€26
389;€45-€100
390;€3-€25
391;€2-€30
392;€10-€33
393;€6-€24
394;€19-€26
395;€4-€35
396;€14-€17
397;€16-€40
398;€8-€36
399;€2-€8
400;€6-€23
401;€28-€38
402;€21-€26
403;€22-€29
404;€24-€55
405;€7-€19
406;€16-€42
407;€15-€26
408;€12-€22
409;€26-€38
410;€22-€32
411;€14-€38
412;€9-€53
413;€6-€27
414;€6-€28
415;€13-€35
416;€18-€166
417;€29-€70
418;€5-€25
419;€15-€17
420;€5-€49
421;€13-€40
422;€16-€33
423;€17-€26
424;€13-€54
425;€11-€25
426;€17-€45
427;€12-€50
428;€8-€24
429;€8-€83
430;€16-€27
431;€25-€35
432;€17-€33
433;€17-€79
434;€37-€50
435;€59-€140
436;€7-€60
437;€19-€30
438;€41-€124
439;€8-€18
440;€15-€43
441;€17-€86
442;€12-€45
443;€11-€50
444;€19-€45
445;€9-€55
446;€24-€29
447;€13-€28
448;€37-€74
449;€7-€26
450;€14-€18
451;€13-€43
452;€25-€56
453;€17-€21
454;€14-€34
455;€17-€50
456;€20-€99
457;€50-€1,000
458;€12-€37
459;€14-€30
460;€8-€50
461;€4-€18
462;€9-€45
463;€5-€45
464;€14-€49
465;€23-€50
466;€4-€30
467;€6-€19
468;€7-€39
469;€6-€18
470;€10-€12
471;€18-€30
472;€9-€36
473;€6-€40
474;€17-€37
475;€9-€23
476;€6-€9
477;€28-€69
478;€30-€35
479;€12-€14
480;€24-€40
481;€15-€19
482;€15-€49
483;€17-€39
484;€15-€55
485;€11-€37
486;€6-€8
487;€11-€100
488;€8-€23
489;€13-€32
490;€28-€37
491;€11-€31
492;€23-€36
493;€15-€32
494;€12-€34
495;€19-€31
496;€14-€36
497;€12-€12
498;€35-€65
499;€26-€32
500;€5-€24
501;€8-€27
502;€16-€37
503;€10-€24
504;€42-€65
505;€20-€43
506;€3-€21
507;€26-€26
508;€19-€74
509;€26-€71
510;€18-€28
511;€12-€24
512;€15-€23
513;€10-€48
514;€14-€21
515;€32-€90
516;€9-€27
517;€27-€32
518;€16-€51
519;€13-€13
520;€4-€23
521;€35-€99
522;€22-€51
523;€12-€54
524;€14-€59
525;€7-€24
526;€15-€59
527;€20-€42
528;€16-€38
529;€17-€28
530;€9-€33
531;€10-€67
532;€7-€50
533;€6-€65
534;€19-€29
535;€15-€52
536;€10-€98
537;€3-€9
538;€13-€49
539;€20-€100
540;€20-€46
541;€20-€32
542;€13-€23
543;€13-€46
544;€6-€30
545;€12-€27
546;€10-€11
547;€14-€39
548;€16-€24
549;€13-€60
550;€10-€23
551;€20-€84
552;€12-€62
553;€15-€37
554;€15-€60
555;€14-€40
556;€3-€16
557;€2-€4
558;€1-€3
559;€8-€31
560;€6-€26
561;€10-€41
562;€11-€27
563;€19-€33
564;€35-€48
565;€21-€75
566;€50-€80
567;€7-€29
568;€63-€153
569;€25-€31
570;€25-€80
571;€32-€54
572;€9-€24
573;€17-€58
574;€24-€45
575;€20-€60
576;€19-€38
577;€2-€60
578;€14-€23
579;€28-€60
580;€9-€60
581;€9-€39
582;€21-€29
583;€6-€29
584;€22-€60
585;€6-€16
586;€23-€47
587;€25-€59
588;€32-€50
589;€15-€34
590;€18-€34
591;€10-€124
592;€36-€36
593;€4-€40
594;€38-€127
595;€17-€85
596;€18-€76
597;€9-€32
598;€45-€95
599;€3-€5
600;€78-€118
601;€18-€38
602;€12-€15
603;€3-€44
604;€26-€66
605;€11-€34
606;€6-€35
607;€621-€1,118
608;€7-€8
609;€13-€34
610;€32-€41
611;€32-€55
612;€48-€95
613;€2-€83
614;€35-€55
615;€2-€7
616;€4-€7
617;€14-€55
618;€26-€36
619;€10-€70
620;€4-€52
621;€18-€50
622;€13-€55
623;€6-€60
624;€30-€40
625;€35-€42
626;€13-€15
627;€6-€100
628;€8-€10
629;€5-€26
630;€18-€32
631;€49-€79
632;€7-€43
633;€10-€49
634;€7-€35
635;€3-€75
636;€2-€100
637;€11-€24
638;€29-€41
639;€19-€67
640;€11-€15
641;€17-€17
642;€16-€34
643;€33-€45
644;€22-€41
645;€25-€69
646;€19-€24
647;€14-€52
648;€18-€22
649;€23-€46
650;€19-€49
651;€48-€90
652;€31-€123
653;€3-€29
654;€19-€59
655;€36-€62
656;€33-€72
657;€22-€38
658;€18-€65
659;€6-€50
660;€15-€42
661;€39-€155
662;€17-€23
663;€7-€33
664;€3-€30
665;€15-€36
666;€14-€19
667;€13-€38
668;€17-€31
669;€25-€74
670;€37-€70
671;€34-€101
672;€5-€250
673;€13-€27
674;€14-€22
675;€3-€50
676;€34-€72
677;€25-€70
678;€19-€102
679;€11-€69
680;€20-€39
681;€17-€20
682;€9-€100
683;€24-€84
684;€18-€55
685;€70-€190
686;€7-€31
687;€9-€31
688;€32-€115
689;€30-€100
690;€17-€22
691;€24-€26
692;€85-€150
693;€28-€88
694;€3-€26
695;€15-€80
696;€11-€60
697;€8-€60
698;€20-€44
699;€13-€50
700;€14-€41
701;€19-€41
702;€19-€37
703;€12-€79
704;€5-€83
705;€11-€38
706;€5-€60
707;€17-€46
708;€21-€43
709;€14-€44
710;€25-€29
711;€14-€37
712;€17-€69
713;€14-€150
714;€17-€27
715;€9-€41
716;€14-€60
717;€35-€45
718;€34-€47
719;€16-€23
720;€3-€59
721;€2-€25
722;€3-€35
723;€21-€41
724;€6-€70
725;€32-€81
726;€9-€34
727;€27-€70
728;€24-€91
729;€28-€36
730;€30-€55
731;€8-€8
732;€17-€52
733;€85-€130
734;€25-€30
735;€53-€58
736;€26-€50
737;€25-€65
738;€29-€39
739;€19-€62
740;€16-€99
741;€11-€75
742;€12-€91
743;€19-€27
744;€17-€34
745;€3-€70
746;€16-€46
747;€32-€128
748;€16-€56
749;€13-€45
750;€26-€49
751;€15-€82
